Titulo_Pelicula,numero_reseñas_criticos,duracion,director_fl,actor3_fl,actor1_fl,ingreso,num_votos_usuarios,lfb_total_cast,num_caras_poster,num_reseñas_ususarios,presupuesto,titulo_año,actor2_fl,imbd_puntaje,titulo_año1
Avatar?ÿ,723,178.0,10,855,1000,760505847,886204.0,4834.0,,3054,237000000,2009,936.0,7.9,2009.0
Pirates of the Caribbean: At World's End?ÿ,302,,563,1000,40000,309404152,471220.0,48350.0,,1238,300000000,2007,5000.0,7.1,
The Dark Knight Rises?ÿ,813,,22000,23000,27000,448130642,1144337.0,106759.0,,2701,250000000,2012,23000.0,8.5,
Tangled?ÿ,324,,15,284,799,200807262,294810.0,,1.0,387,260000000,2010,553.0,7.8,
Avengers: Age of Ultron?ÿ,635,141.0,10,19000,26000,458991599,462669.0,92000.0,4.0,1117,250000000,2015,21000.0,7.5,
Avengers: Age of Ultron?ÿ,635,141.0,10,19000,26000,458991599,462669.0,92000.0,4.0,1117,250000000,2015,21000.0,7.5,2015.0
Harry Potter and the Half-Blood Prince?ÿ,375,153.0,282,10000,25000,301956980,321795.0,58753.0,3.0,973,250000000,2009,11000.0,7.5,
Pirates of the Caribbean: Dead Man's Chest?ÿ,313,151.0,563,1000,40000,423032628,522040.0,48486.0,2.0,1832,225000000,2006,5000.0,7.3,2008.0
